[2024-01-11 22:43:42.201] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:42.206] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:42.210] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:42.210] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:42.217] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:42.217] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:42.222] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:42.222] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:42.222] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:42.222] $GNRMC,235944.012,V,,,,,,,050180,,,N,V*2B
[2024-01-11 22:43:42.227] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:43.194] $GNGGA,235945.012,,,,,0,0,,,M,,M,,*59
[2024-01-11 22:43:43.201] $GNGLL,,,,,235945.012,V,N*6B
[2024-01-11 22:43:43.204] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:43.204] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:43.208] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:43.211] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:43.214] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:43.214] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:43.218] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:43.220] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:43.220] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:43.220] $GNRMC,235945.012,V,,,,,,,050180,,,N,V*2A
[2024-01-11 22:43:43.223] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:44.194] $GNGGA,235946.011,,,,,0,0,,,M,,M,,*59
[2024-01-11 22:43:44.205] $GNGLL,,,,,235946.011,V,N*6B
[2024-01-11 22:43:44.205] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:44.205] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:44.210] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:44.215] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:44.215] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:44.215] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:44.221] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:44.221] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:44.227] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:44.227] $GNRMC,235946.011,V,,,,,,,050180,,,N,V*2A
[2024-01-11 22:43:44.227] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:45.194] $GNGGA,235947.012,,,,,0,0,,,M,,M,,*5B
[2024-01-11 22:43:45.201] $GNGLL,,,,,235947.012,V,N*69
[2024-01-11 22:43:45.204] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:45.204] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:45.207] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:45.210] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:45.213] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:45.218] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:45.218] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:45.223] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:45.223] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:45.223] $GNRMC,235947.012,V,,,,,,,050180,,,N,V*28
[2024-01-11 22:43:45.229] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:46.195] $GNGGA,235948.012,,,,,0,0,,,M,,M,,*54
[2024-01-11 22:43:46.201] $GNGLL,,,,,235948.012,V,N*66
[2024-01-11 22:43:46.206] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:46.206] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:46.212] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:46.212] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:46.218] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:46.218] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:46.218] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:46.222] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:46.222] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:46.222] $GNRMC,235948.012,V,,,,,,,050180,,,N,V*27
[2024-01-11 22:43:46.225] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:47.194] $GNGGA,235949.012,,,,,0,0,,,M,,M,,*55
[2024-01-11 22:43:47.202] $GNGLL,,,,,235949.012,V,N*67
[2024-01-11 22:43:47.209] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:47.209] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:47.209] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:47.218] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:47.218] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:47.225] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:47.225] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:47.225] $GBGSV,1,1,00,1*76
