messageGuid,deviceGuid,createdDate,receivedDate,latitude,longitude,data,messageSize,callbackDeliveryStatus
45549762-2f25-4899-8848-5ec294de23a3,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 08:19:45,02/11/2024 09:46:17,52.278062,20.809136,ZnY9MC4wLjE=,16,4
f189bc39-10df-4eb2-90d8-5152e6162f42,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 09:41:50,02/11/2024 15:29:39,52.2779529,20.809285,ZnY9MC4wLjE=,16,4
92d92e6e-0a7d-4f23-9a21-2ed5cc352fd3,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 18:16:33,02/11/2024 20:44:02,52.278263,20.809158,MSw1MjI3ODI2MzAsMjA4MDkxNTgw,29,4
0c79ef06-2570-48d7-b287-85330b6e6e01,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 17:46:19,02/12/2024 01:37:18,52.278353,20.8092529,MSw1MjI3ODM1MzAsMjA4MDkyNTI5,29,4
499f6a6f-3207-4124-995f-2b7e926a969e,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 17:56:23,02/12/2024 01:37:19,52.278258,20.8092289,MSw1MjI3ODI1ODAsMjA4MDkyMjg5,29,4
7e0434b0-6fd3-497a-8453-b453298c0a6c,37e91959-2b3c-464c-866a-acc75e5f5bba,02/11/2024 18:06:28,02/12/2024 01:37:19,52.2783159,20.809275,MSw1MjI3ODMxNTksMjA4MDkyNzUw,29,4
e479f3a1-b5e5-445e-8847-d4c323fcc5f5,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:22:03,02/19/2024 18:40:39,52.278146,20.809315,MSwxLjUsMywxLDUyMjc4MTQ2MCwyMDgwOTMxNTA=,37,4
60081b80-754c-41c6-8b3f-0b1df8738ee8,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:32:12,02/19/2024 19:01:23,52.278104,20.809371,MywxLjQsNSwxLDUyMjc4MTA0MCwyMDgwOTM3MTA=,37,4
e3bddf37-7f2f-4dda-9531-63f6e4f5c14e,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:47:28,02/19/2024 21:02:36,52.278338,20.809181,NiwxLjQsOCwxLDUyMjc4MzM4MCwyMDgwOTE4MTA=,37,4
cc52c458-3b82-4f3e-ab2e-2fec4234ae03,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:27:07,02/19/2024 21:02:36,52.278042,20.809264,MiwxLjQsNSwxLDUyMjc4MDQyMCwyMDgwOTI2NDA=,37,4
8f4f132c-e15e-4f64-833c-681d3c14e05e,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:37:18,02/19/2024 21:02:36,52.278233,20.809433,NCwxLjQsNywxLDUyMjc4MjMzMCwyMDgwOTQzMzA=,37,4
9c5d8e3e-2189-4813-8731-1fef99b46015,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 19:04:42,02/19/2024 21:10:53,52.278253,20.809197,MjAsMS41LDUsMiw1MjI3ODI1MzAsMjA4MDkxOTcw,38,4
871f12d4-98b6-44c4-ab18-916f71cbcdd1,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 19:35:16,02/19/2024 21:10:55,52.27818,20.809257,MjYsMS41LDIsMiw1MjI3ODE4MDAsMjA4MDkyNTcw,38,4
d15c6b63-d16b-46d8-b2c9-0c8ad249ac69,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 19:30:15,02/19/2024 21:10:55,52.278213,20.809218,MjUsMS41LDEsMiw1MjI3ODIxMzAsMjA4MDkyMTgw,38,4
c82955a6-5e2a-46f9-baf8-fe6bdbbfa2ee,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 20:29:38,02/19/2024 21:25:46,52.27827,20.809041,MzYsMS45LDUsMyw1MjI3ODI3MDAsMjA4MDkwNDEw,38,4
774c8b1b-cc54-427d-8447-7e5258252a07,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 20:34:44,02/19/2024 21:25:46,52.278238,20.80893,MzcsMS45LDcsMyw1MjI3ODIzODAsMjA4MDg5MzAw,38,4
10739e31-dd60-4c77-9a73-87f24e26c6ae,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:42:20,02/19/2024 22:01:22,52.278343,20.80923,NSwxLjQsMywxLDUyMjc4MzQzMCwyMDgwOTIzMDA=,37,4
7811a798-37c6-4ad3-a76b-2667be7861c4,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 17:52:30,02/19/2024 22:01:23,52.278394,20.809239,NywxLjQsMywxLDUyMjc4Mzk0MCwyMDgwOTIzOTA=,37,4
aafd3d12-ee25-41c1-be1d-a6efd968e636,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 18:42:39,02/19/2024 22:01:24,52.278189,20.809241,MTYsMS44LDYsMSw1MjI3ODE4OTAsMjA4MDkyNDEw,38,4
81e214ec-8550-49c0-81cc-96599130a095,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 23:17:40,02/20/2024 00:48:26,52.278291,20.8088799,MSwxLjQsOSwxLDUyMjc4MjkxMCwyMDgwODg3OTk=,37,4
a8d7d663-0228-41ba-a56c-fbed26a355f4,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 00:18:17,02/20/2024 01:15:25,52.278307,20.809172,MiwxLjQsMzgsMSw1MjI3ODMwNzAsMjA4MDkxNzIw,38,4
3cd06172-a0aa-4c3e-a48b-afced8f70629,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 02:13:50,02/20/2024 09:46:13,52.278288,20.809158,MywxLjgsMjgsMiw1MjI3ODI4ODAsMjA4MDkxNTgw,38,4
3ad3e29f-4d50-42a0-8d5e-18bd7036941f,37e91959-2b3c-464c-866a-acc75e5f5bba,02/19/2024 22:17:30,02/20/2024 09:46:13,52.27828,20.809219,MCwxLjYsNzAsMSwwLjAuMg==,24,4
db0599f3-de5c-4122-8ee6-5095ab8f0bb3,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 09:20:20,02/20/2024 11:51:13,52.278742,20.809004,MSwxLjksMTgsMCw1MjI3ODc0MjAsMjA4MDkwMDQw,38,4
00fbac5d-cd2e-4671-bc17-9f2258f8046b,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 10:20:52,02/20/2024 11:51:14,52.278944,20.807014,MiwxLjcsMzIsMCw1MjI3ODk0NDAsMjA4MDcwMTQw,38,4
59624fb4-155a-4901-b727-6e3f76776909,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 08:20:01,02/20/2024 13:03:54,52.278292,20.809257,MCwxLjgsNCwwLDAuMC4y,23,4
90f54c82-db2f-49d1-8c7b-47523059bc84,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 11:25:40,02/20/2024 13:03:54,52.2791,20.809265,MywxLjUsMTcsMSw1MjI3OTEwMDAsMjA4MDkyNjUw,38,4
